"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"203",1,1,1,2,2,2,2,2,1,2,1,-73800,-2400,-2200,-12000,-1300,-400,-2200,-32000,600,-8800,-1600,-11500,FALSE
"2101",1,1,2,1,1,2,2,2,2,2,1,-44000,-2800,-2000,-1500,-2700,-3000,-1800,-17000,-400,-400,-900,-11500,FALSE
"222",1,1,2,1,2,2,2,1,2,2,1,-37800,-2300,-2000,0,-2700,100,-600,-17000,-400,-400,-1000,-11500,FALSE
"224",1,1,2,1,2,2,2,2,1,2,1,-61800,-3100,-1600,-5000,-2300,100,-1400,-23000,-400,-12400,-1200,-11500,FALSE
"2371",1,1,2,2,1,2,2,1,2,2,1,-38400,-2200,-2100,500,100,-3000,-800,-18000,-400,0,-1000,-11500,FALSE
"2391",1,1,2,2,1,2,2,2,1,2,1,-64000,-3000,-1700,-4500,-300,-3000,-1600,-24000,-400,-12800,-1200,-11500,FALSE
"258",1,1,2,2,2,2,2,1,1,2,1,-57800,-2500,-1700,-3000,-300,100,-400,-24000,-400,-12800,-1300,-11500,FALSE
"266",1,2,1,1,1,2,2,2,2,2,1,-64400,-2400,300,-14000,-1800,-2500,-2800,-25000,600,-4000,-1300,-11500,FALSE
"278",1,2,1,1,2,2,2,1,2,2,1,-64200,-1900,300,-15500,-1800,-400,-1600,-25000,-1400,-4000,-1400,-11500,FALSE
"280",1,2,1,1,2,2,2,2,1,2,1,-69800,-2700,-100,-10500,-1400,-400,-2400,-31000,600,-8800,-1600,-11500,FALSE
"293",1,2,1,2,1,2,2,1,2,2,1,-66400,-1800,400,-16000,-800,-2500,-1800,-26000,-1400,-3600,-1400,-11500,FALSE
"295",1,2,1,2,1,2,2,2,1,2,1,-73600,-2600,0,-11000,-1200,-2500,-2600,-32000,600,-9200,-1600,-11500,FALSE
"314",1,2,1,2,2,2,2,1,1,2,1,-73400,-2100,0,-12500,-1200,-400,-1400,-32000,-1400,-9200,-1700,-11500,FALSE
"3282",1,2,2,1,1,2,2,1,2,2,1,-40400,-2500,-200,-1000,-2800,-3000,-1000,-17000,-400,0,-1000,-11500,FALSE
"3302",1,2,2,1,1,2,2,2,1,2,1,-66000,-3300,-600,-6000,-2400,-3000,-1800,-23000,-400,-12800,-1200,-11500,FALSE
